handle,channel_type,channel_type_note,subs,total_channel_views,video_count,n_scraped,n_shorts_scraped,n_long_scraped,median_views,p25,p75,max_views,n_ueber_100k,n_ueber_480k,hit_ratio,median_to_max_ratio,uploads_pro_tag,verdict_A,subs_ge_1000,subs_ge_500,shorts_views_90d,shorts_views_90d_basis,ypp_ad_eligible,ypp_fanfund_eligible,longform_ad_eligible,watch_hours_upperbound,watch_ub_basis,retention_needed_for_4000h,mon_sponsor_button,mon_store_tab,mon_external_links,mon_affiliate_hits,off_platform_monetization,join_date,viral_video_id,viral_video_views,viral_video_upload_date,viral_date_source,days_channel_to_hit,days_since_hit,dominant_upload_hour_utc,upload_hours_utc,desc_boiler_hash,external_domains,data_quality
AALUBIGTV,LONG,median_dur=423s over 7 items,23800,10404491,7,7,0,7,108152,30990,1188345,8018130,4,2,0.2857,0.0135,0.233,SYSTEM,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),1976682,"sum(views*full_duration) ueber 7 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.002,False,False,0,,False,2026-06-09,bAqR0rnNbnI,8018130,2026-06-13,rss_exact,4,29,3,1;3;4;6;9;11,711119d5440d,,
AALUFAMILYTV,LONG,median_dur=294s over 19 items,26200,15347693,19,19,0,19,283000,158419,1181810,3597736,16,8,0.4211,0.0787,0.373,SYSTEM,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),1422472,"sum(views*full_duration) ueber 19 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0028,False,False,0,,False,2026-05-21,T3GLOa4-nm4,3597736,2026-06-19,rss_exact,29,23,13,13;14,ceaaab370e65,,
AaluTamatarTales,SHORTS,median_dur=145s over 20 items,4820,2638284,56,56,48,8,440,146,1225,2300000,1,1,0.0179,0.0002,1.931,LOTTERIE,True,True,11464,sum_shorts_views(missing_on_28),False,False,N/A_shorts_channel,440825,"sum(views*full_duration) ueber 20 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0091,False,False,0,,False,2026-06-13,hmZIilEGd9k,2300000,,published_text:13 days ago,,,8,3;4;5;6;8;11;12;14;15;17;18,d9f55be11062,,views_missing_on_28_vids; viral_upload_date:only_relative_text
AiGhibheli,LONG,median_dur=505s over 14 items,3250,1784818,14,14,2,12,89013,40500,209823,557986,7,1,0.0714,0.1595,0.368,UNKLAR,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),208982,"sum(views*full_duration) ueber 14 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0191,False,False,0,,False,2026-06-03,ulwJJ-lu3zY,557986,2026-06-10,rss_exact,7,32,13,3;5;11;12;13,c67b33a94465,,
Aiduniya377,LONG,median_dur=321s over 30 items,3370,1063382,64,49,2,47,1869,501,6130,620234,1,1,0.0156,0.003,0.928,LOTTERIE,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),81840,"sum(views*full_duration) ueber 30 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0489,False,False,0,,False,2026-05-03,XqeFP8CQE60,620234,2026-06-30,rss_exact,58,12,13,13;14,27b401b870b5,,views_missing_on_19_vids; scraped_49_of_64_vids(median_on_newest)
Bestorytales,LONG,median_dur=534s over 1 items,12300,17406195,17,17,0,17,91391,49131,621856,12373896,7,4,0.2353,0.0074,0.81,UNKLAR,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),108,"sum(views*full_duration) ueber 1 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",37.037,False,False,0,,False,2026-06-20,v_ZDl9g6YKw,12373896,2026-06-28,rss_exact,8,14,14,14;15,b5f11fae7c22,,views_missing_on_2_vids
BingeboxAnimations,LONG,median_dur=4098s over 20 items,89100,13137424,19,20,0,20,258793,147562,861249,2400102,17,9,0.4737,0.1078,0.288,SYSTEM,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),15585294,"sum(views*full_duration) ueber 20 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0003,False,False,0,,False,2026-04-22,ZljpBxog9G8,2400102,2026-05-28,rss_exact,36,45,16,16;17,4424bc40de0d,,
CheathanMust,SHORTS,no_duration_overlays=pure_shorts,12400,6603655,21,21,21,0,426140,86367,672278,1290629,10,7,0.3333,0.3302,0.583,SYSTEM,True,True,6603655,pure_shorts=exact_total_views,False,True,N/A_shorts_channel,,keine_dur+views_paare,,False,False,0,,False,2026-06-05,GOEdXVVnOX8,1290629,2026-07-06,rss_exact,31,6,11,1;9;11;12;13,aa2c709f1cd3,,views_missing_on_6_vids
FuntooBabaTV,LONG,median_dur=358s over 13 items,32600,25784838,13,13,0,13,1123568,84504,3051357,6506932,9,8,0.6154,0.1727,0.228,SYSTEM,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),3521706,"sum(views*full_duration) ueber 13 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0011,False,False,0,,False,2026-05-10,puX7N5DUnv4,6506932,2026-06-20,rss_exact,41,22,11,1;10;11;13;23,d00d966aa3b2,,
Gaonstory-q1p,LONG,median_dur=281s over 21 items,11500,8339320,22,22,3,19,10441,1800,267183,3113690,6,4,0.1818,0.0034,0.579,UNKLAR,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),1442287,"sum(views*full_duration) ueber 21 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0028,False,False,0,,False,2026-06-03,on7AFprDTgI,3113690,2026-06-28,rss_exact,25,14,12,0;5;12;14,33f9095c7f63,,
HappyEndingTales-t4s,LONG,median_dur=2775s over 30 items,13700,1455093,30,30,0,30,8900,5425,22657,645035,3,1,0.0333,0.0138,0.395,LOTTERIE,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),1217358,"sum(views*full_duration) ueber 30 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0033,False,False,0,,False,2026-04-26,2b9RHYccyqE,645035,2026-06-09,rss_exact,44,33,16,15;16,855291b7447f,,
HiddenPower-e9n,LONG,median_dur=273s over 30 items,11700,5619459,36,33,11,22,44177,21000,188786,1300000,12,3,0.0833,0.034,0.621,UNKLAR,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),360775,"sum(views*full_duration) ueber 30 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0111,False,False,0,,False,2026-05-15,wzwVY1TG1eI,1300000,,published_text:3 weeks ago,,,1,1;6,5748aa2688f4,,scraped_33_of_36_vids(median_on_newest); viral_upload_date:only_relative_text
LOVERSINUSA,SHORTS,no_duration_overlays=pure_shorts,93000,7452214,49,48,48,0,23202,15583,47659,835446,2,1,0.0204,0.0278,1.69,UNKLAR,True,True,7452214,pure_shorts=exact_total_views,False,True,N/A_shorts_channel,,keine_dur+views_paare,,False,False,0,,False,2026-06-12,HjGWf-aDdrc,835446,2026-07-07,rss_exact,25,5,22,8;11;12;22;23,a38ef56a3582,,views_missing_on_33_vids; scraped_48_of_49_vids(median_on_newest)
LittleDramaWorld-h5t,LONG,median_dur=503s over 30 items,6810,6151383,32,30,0,30,482,282,44012,3200000,7,3,0.0938,0.0002,0.478,UNKLAR,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),901113,"sum(views*full_duration) ueber 30 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0044,False,False,0,,False,2026-05-05,HaK-DkJZhH4,3200000,,published_text:13 days ago,,,12,0;6;9;10;11;12;13;17;20,aa35472e4473,,scraped_30_of_32_vids(median_on_newest); viral_upload_date:only_relative_text
MASTICARTOON-BN,LONG,median_dur=216s over 16 items,1970,1268687,16,16,4,12,119,50,2632,819688,3,1,0.0625,0.0001,0.889,UNKLAR,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),108679,"sum(views*full_duration) ueber 16 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0368,False,False,0,,False,2026-06-20,TQUDKkqlwz0,819688,2026-06-28,rss_exact,8,14,12,0;1;7;12;13;14,931b79cb7f24,,
