kohorte_start_monat,n_kanaele,n_mit_480k_hit,median_top_video_views,quelle
2026-04,6,6,2050000,33_verifizierte(selektiert_auf_hit)
2026-05,13,13,811000,33_verifizierte(selektiert_auf_hit)
2026-06,14,14,2300000,33_verifizierte(selektiert_auf_hit)
WELLE:Drama/Karma,16,1,727,Check_D_77er_Wellen-Kohorte(unverzerrt)
WELLE:Gemüse-Sabzi,15,0,92,Check_D_77er_Wellen-Kohorte(unverzerrt)
WELLE:GiantFood,15,0,1105,Check_D_77er_Wellen-Kohorte(unverzerrt)
WELLE:Gemüse-Veg,12,1,293,Check_D_77er_Wellen-Kohorte(unverzerrt)
WELLE:sonstige,11,0,61,Check_D_77er_Wellen-Kohorte(unverzerrt)
WELLE:Gemüse-Aalu,7,0,18,Check_D_77er_Wellen-Kohorte(unverzerrt)
WELLE:Tales/Story,5,0,262,Check_D_77er_Wellen-Kohorte(unverzerrt)
WELLE:Billionaire,2,0,75,Check_D_77er_Wellen-Kohorte(unverzerrt)
WELLE:Cartoon,1,0,18,Check_D_77er_Wellen-Kohorte(unverzerrt)
WELLE:GESAMT,84,2,129,Check_D_Basisrate_gesamt
