start,end,speed_mean,speed_max,jitter_mean,jitter_p90,rot_abs_mean,zoom,sharp_mean,sharp_min,bright,contrast,framediff,ntrack
0.0,1.0,1.04,2.21,0.442,0.748,0.017,0.0,78.8,54.9,134.6,47.2,1.36,147
1.0,2.0,3.09,5.27,0.165,0.258,0.085,1.0007,86.5,74.5,135.5,46.8,2.91,164
2.0,3.0,5.56,6.19,0.235,0.391,0.138,1.0287,81.0,71.8,134.5,44.6,4.56,178
3.0,4.0,6.42,7.39,0.25,0.457,0.173,1.0939,116.9,41.9,133.1,46.3,5.49,221
4.0,5.0,6.66,7.5,0.465,0.692,0.205,0.9946,77.1,46.7,140.3,45.3,6.1,197
5.0,6.0,5.78,6.49,0.185,0.301,0.218,0.9517,124.0,107.9,122.3,44.4,6.97,163
6.0,7.0,5.71,6.37,0.182,0.362,0.178,1.0632,154.1,133.9,117.4,41.5,5.88,147
7.0,8.0,5.84,6.8,0.182,0.309,0.157,1.0941,96.6,73.0,122.4,37.4,4.56,131
8.0,9.0,8.28,10.01,0.557,1.099,0.283,0.959,36.7,15.8,131.8,29.4,3.01,69
9.0,10.0,9.89,10.73,0.391,0.693,0.29,0.8989,48.3,18.1,126.8,45.6,8.07,128
10.0,11.0,7.21,9.16,0.371,0.594,0.188,0.9329,84.0,70.8,104.3,50.1,6.73,86
11.0,12.0,10.51,12.3,0.943,1.824,0.338,0.8791,63.6,43.5,115.8,53.8,9.73,89
12.0,13.0,5.62,9.46,0.473,0.788,0.131,0.9797,51.8,40.9,133.5,51.4,5.14,94
13.0,14.0,10.26,16.23,0.658,1.7,0.227,1.0066,51.8,46.5,108.3,54.8,8.71,97
14.0,15.0,17.86,19.27,0.822,1.62,0.446,1.0295,46.5,28.2,118.6,48.0,12.47,74
15.0,16.0,15.4,19.45,1.272,2.398,0.438,1.1087,28.6,8.6,139.5,32.8,5.78,86
16.0,17.0,5.0,8.65,0.362,0.53,0.066,1.0917,182.6,84.2,136.8,49.3,9.99,185
17.0,18.0,2.68,3.91,0.308,0.5,0.075,1.0964,194.8,176.9,129.6,56.0,7.83,328
18.0,19.0,0.91,1.84,0.176,0.264,0.028,1.0901,205.5,168.8,127.0,53.7,3.99,371
19.0,20.0,1.22,2.51,0.15,0.275,0.025,1.0865,222.9,201.2,127.0,54.0,4.76,379
20.0,21.0,1.94,2.77,0.22,0.341,0.059,1.0951,245.1,217.2,114.8,55.2,6.06,379
21.0,22.0,3.38,4.97,0.176,0.291,0.077,1.1642,234.8,189.8,107.3,52.2,8.33,304
22.0,23.0,4.76,5.58,0.346,0.68,0.192,1.198,139.3,96.5,108.6,44.4,5.89,179
23.0,24.0,1.98,3.1,0.522,0.997,0.055,1.1681,103.4,88.3,124.9,38.2,2.19,98
24.0,25.0,2.08,5.24,0.467,0.756,0.057,1.1918,85.2,40.9,130.8,33.5,2.01,76
25.0,26.0,6.05,9.59,0.846,1.109,0.298,1.2758,26.9,17.4,142.2,29.9,1.22,45
26.0,27.0,4.83,6.43,0.595,1.205,0.185,1.1471,17.1,12.1,145.7,27.1,0.94,95
27.0,28.0,8.7,11.19,0.482,0.867,0.238,1.043,12.1,9.9,144.4,26.5,1.07,119
28.0,29.0,8.19,10.23,1.031,1.497,0.255,0.996,13.8,10.6,146.1,29.1,1.07,15
29.0,30.0,4.15,8.16,1.285,2.894,0.089,0.9366,46.2,20.5,144.3,37.8,1.24,48
30.0,31.0,6.13,8.68,0.83,1.399,0.145,1.047,25.9,13.0,143.9,34.4,1.31,34
31.0,32.0,8.35,11.81,1.693,2.56,0.207,1.0069,11.2,9.1,143.3,27.5,1.15,28
32.0,33.0,10.69,13.69,1.121,1.832,0.389,1.0999,9.0,6.9,147.7,27.7,1.0,91
33.0,34.0,7.27,10.95,1.387,3.039,0.221,1.1085,14.6,12.1,147.0,31.5,1.08,53
34.0,35.0,8.34,9.52,0.783,1.416,0.235,1.0192,39.0,13.7,148.5,35.0,1.93,35
35.0,36.0,7.21,9.08,0.535,1.275,0.242,0.9627,202.4,74.0,127.5,45.1,5.26,131
36.0,37.0,4.99,6.48,0.213,0.368,0.105,0.9311,237.1,196.1,115.2,49.9,6.73,228
37.0,38.0,4.25,5.43,0.248,0.435,0.101,0.9276,271.0,225.8,111.3,53.0,7.67,304
38.0,39.0,5.93,6.95,0.425,0.625,0.099,0.9377,371.4,288.5,111.0,59.6,12.94,362
39.0,40.0,5.01,5.66,0.271,0.503,0.026,0.9579,364.4,327.9,117.0,61.9,12.9,373
40.0,41.0,4.6,6.7,0.378,0.624,0.127,0.973,381.2,339.1,119.1,60.9,8.71,367
41.0,42.0,5.22,6.14,0.36,0.801,0.183,1.0001,305.8,226.1,109.3,53.7,6.37,307
42.0,43.0,4.17,5.11,0.278,0.499,0.12,0.9797,236.5,204.8,107.9,48.5,4.18,187
43.0,44.0,3.92,5.19,0.255,0.494,0.135,0.9578,223.2,192.3,107.6,49.8,2.88,81
44.0,45.0,4.51,5.45,0.292,0.725,0.08,0.9355,192.8,174.4,109.8,49.1,4.73,104
45.0,46.0,4.17,6.38,0.203,0.354,0.111,0.9094,136.3,107.8,105.5,48.0,5.06,124
46.0,47.0,9.0,10.59,0.324,0.689,0.237,1.0122,76.7,55.8,111.8,47.5,8.02,109
47.0,48.0,9.03,10.46,0.616,0.858,0.165,1.0834,36.4,14.4,140.3,44.4,4.41,53
48.0,49.0,5.01,9.49,0.949,1.442,0.083,0.9642,15.2,11.5,144.3,36.6,1.92,17
49.0,50.0,8.98,11.73,0.47,0.881,0.133,0.9555,47.1,14.8,131.5,45.9,4.79,65
50.0,51.0,12.8,14.27,0.867,1.11,0.247,1.1962,86.7,62.3,127.6,49.7,9.66,76
51.0,52.0,13.1,14.33,0.818,1.537,0.243,1.1604,121.1,57.5,146.3,50.7,7.72,69
52.0,53.0,12.31,14.38,0.702,1.105,0.25,1.0901,394.7,248.7,136.2,57.2,17.65,276
53.0,54.0,6.91,10.6,0.439,0.854,0.143,1.265,464.2,377.3,128.7,72.3,18.97,327
