frame,t,dx,dy,rot_deg,scale,ntrack,framediff,sharpness,brightness,contrast
0,0.0,0.0,0.0,0.0,0.0,0,0.0,63.95,133.62,46.83
1,0.033,0.683,-0.194,0.0255,1.0001,167,0.657,56.6,133.67,46.8
2,0.067,1.034,0.139,0.0209,0.9998,161,1.119,76.51,133.58,46.84
3,0.1,1.059,-0.262,0.0313,1.0011,140,1.733,73.24,133.56,46.86
4,0.134,0.884,0.307,0.0144,1.0006,145,1.719,68.06,133.63,46.88
5,0.167,0.909,0.672,-0.0141,1.0,133,1.84,67.35,133.72,46.92
6,0.2,1.458,0.344,0.0623,0.9997,128,1.772,54.94,133.77,46.91
7,0.234,0.921,1.018,-0.0151,1.0001,114,2.044,68.15,133.88,47.0
8,0.267,0.652,0.897,-0.0136,1.0008,108,2.024,72.24,134.03,47.03
9,0.301,0.719,1.392,-0.0214,1.0001,114,2.292,86.51,134.22,47.2
10,0.334,0.265,0.774,-0.0095,1.0015,128,2.28,95.01,134.5,47.32
11,0.368,0.53,1.549,-0.0166,0.9999,151,2.165,95.26,134.67,47.34
12,0.401,0.226,1.477,-0.0275,1.0005,160,2.205,90.02,134.87,47.3
13,0.434,0.783,1.893,-0.0135,0.9994,154,2.257,87.47,135.08,47.27
14,0.468,0.152,0.601,0.005,1.0015,148,2.347,96.56,135.05,47.28
15,0.501,1.292,1.794,0.0096,0.9977,165,1.75,78.51,135.1,47.18
16,0.535,0.226,0.836,-0.0124,1.0014,157,1.872,84.19,135.28,47.23
17,0.568,0.836,1.465,-0.0058,0.9987,161,1.56,87.98,135.3,47.25
18,0.601,0.704,1.355,-0.0062,0.999,146,1.414,80.03,135.2,47.29
19,0.635,0.523,1.12,-0.018,0.9993,151,1.237,78.0,135.24,47.28
20,0.668,0.724,0.924,0.0007,0.9986,172,0.931,72.63,135.3,47.26
21,0.702,0.58,0.744,-0.0095,0.9992,178,0.993,73.23,135.19,47.29
22,0.735,0.429,0.482,-0.0037,0.9994,165,0.585,68.67,135.15,47.29
23,0.769,0.275,0.386,-0.016,0.9996,153,0.564,72.16,135.11,47.32
24,0.802,0.415,0.229,-0.004,0.9997,158,0.646,82.31,135.06,47.36
25,0.835,0.161,0.442,-0.02,0.9995,161,0.422,88.38,135.1,47.39
26,0.869,-0.428,0.069,-0.0292,1.0005,172,0.345,86.79,135.07,47.42
27,0.902,-0.551,-0.049,-0.0235,1.0004,175,0.49,86.75,135.02,47.47
28,0.936,-0.57,0.12,-0.0131,0.9999,180,0.71,86.79,135.0,47.53
29,0.969,-0.812,0.379,-0.0388,0.9997,181,0.953,84.56,135.04,47.53
30,1.002,-0.923,0.325,-0.0378,0.9997,183,1.151,85.92,135.06,47.51
31,1.036,-1.164,0.485,-0.0582,0.9993,180,1.303,74.55,135.13,47.46
32,1.069,-1.238,0.312,-0.041,0.9996,181,1.499,75.22,135.18,47.42
33,1.103,-1.642,0.221,-0.0497,1.0,182,1.753,81.69,135.18,47.41
34,1.136,-1.812,0.088,-0.0536,1.0,176,1.968,86.68,135.13,47.41
35,1.17,-1.943,0.152,-0.0651,0.9999,166,2.136,92.87,135.14,47.42
36,1.203,-1.977,0.119,-0.0513,1.0002,168,2.18,92.18,135.17,47.43
37,1.236,-2.205,-0.024,-0.0638,1.0003,174,2.377,85.31,135.22,47.43
38,1.27,-2.169,0.299,-0.07,0.9999,159,2.36,81.84,135.29,47.34
39,1.303,-2.195,0.069,-0.077,1.0004,165,2.133,78.29,135.22,47.31
40,1.337,-2.143,0.351,-0.0524,0.9996,150,2.466,76.34,135.24,47.28
41,1.37,-2.432,0.244,-0.0783,1.0002,159,2.462,86.02,135.17,47.23
42,1.403,-2.605,0.318,-0.0717,1.0001,161,2.605,87.4,135.21,47.18
43,1.437,-2.653,0.288,-0.0797,1.0001,157,2.613,90.58,135.38,47.2
44,1.47,-2.905,0.193,-0.0846,1.0003,160,2.756,84.46,135.48,47.18
45,1.504,-3.02,0.214,-0.0821,1.0004,162,2.856,80.1,135.57,47.1
46,1.537,-3.213,0.16,-0.087,1.0003,148,3.0,83.63,135.61,47.01
47,1.571,-3.166,0.425,-0.0879,0.9998,139,3.126,92.64,135.67,46.94
48,1.604,-3.267,0.263,-0.078,1.0,147,3.216,89.89,135.83,46.86
49,1.637,-3.609,0.374,-0.0977,1.0002,150,3.391,90.47,135.89,46.78
50,1.671,-3.77,0.192,-0.0951,1.0002,149,3.526,89.38,135.9,46.64
51,1.704,-3.961,0.576,-0.1176,0.9998,160,3.591,87.51,135.91,46.49
52,1.738,-4.031,0.497,-0.1072,0.9998,159,3.726,83.89,136.11,46.44
53,1.771,-4.413,0.409,-0.1232,1.0002,158,3.826,85.48,135.88,46.19
54,1.804,-4.529,0.275,-0.1109,1.0002,163,3.947,89.94,135.8,46.06
55,1.838,-4.638,0.588,-0.1225,0.9998,170,4.039,91.64,135.72,45.94
56,1.871,-4.799,0.514,-0.1262,0.9999,179,4.134,93.99,135.66,45.79
57,1.905,-5.066,0.319,-0.123,1.0002,175,4.297,96.69,135.46,45.62
58,1.938,-5.214,0.426,-0.138,1.0001,176,4.385,92.9,135.61,45.54
59,1.972,-5.26,0.306,-0.1286,1.0002,176,4.373,86.75,135.56,45.35
60,2.005,-5.449,0.085,-0.1255,1.0006,171,4.449,88.13,135.53,45.18
61,2.038,-5.427,0.217,-0.123,1.0003,171,5.049,95.04,135.43,44.99
62,2.072,-5.647,0.3,-0.1388,1.0002,169,4.376,92.34,135.36,44.81
63,2.105,-5.801,0.215,-0.1498,1.0004,174,4.43,89.39,135.28,44.66
64,2.139,-5.648,0.07,-0.1246,1.0004,194,4.584,88.36,135.26,44.59
65,2.172,-5.685,0.258,-0.1373,1.0003,174,4.51,83.27,135.29,44.49
66,2.205,-5.619,0.247,-0.1281,1.0002,174,4.499,81.4,135.23,44.42
67,2.239,-5.803,0.082,-0.1334,1.0006,180,4.549,80.15,135.15,44.33
68,2.272,-5.821,0.287,-0.1481,1.0003,175,4.488,76.57,135.13,44.27
